Group.1,EAD,Bal,ALLL,FAS114_Reserve,OrigRR,LGD,RemMat,EIR,Commit_Ind,Rating,FAS114_ind,Segment,Product,Amort_Type,IFRS9_Ind,Revol_Ind,Fee_Ind,LOB,CurRR,Prepayment
114,1000000,1000000,7997.133024,0,11,0.33,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
115,1000000,1000000,7997.133024,0,11,0.52,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
116,1000000,1000000,7997.133024,0,11,0.24,20,0.046134319,0,3,0,NCy_US,C&I,StraightLine,0,1,0,CB,3,0
117,1000000,1000000,7997.133024,0,11,0.15,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
118,1000000,1000000,7997.133024,0,11,0.50,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
119,1000000,1000000,7997.133024,0,11,0.39,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
120,1000000,1000000,7997.133024,0,11,0.51,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
121,1000000,1000000,7997.133024,0,11,0.40,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
122,1000000,1000000,7997.133024,0,11,0.61,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
123,1000000,1000000,7997.133024,0,11,0.61,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
124,1000000,1000000,7997.133024,0,11,0.09,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
125,1000000,1000000,7997.133024,0,11,0.22,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
126,1000000,1000000,7997.133024,0,11,0.69,20,0.046134319,0,3,0,NCy_US,C&I,StraightLine,0,1,0,CB,3,0
127,1000000,1000000,7997.133024,0,11,0.11,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
128,1000000,1000000,7997.133024,0,11,0.71,20,0.046134319,0,3,0,NCy_US,C&I,StraightLine,0,1,0,CB,3,0
129,1000000,1000000,7997.133024,0,11,0.51,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
130,1000000,1000000,7997.133024,0,11,0.59,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
131,1000000,1000000,7997.133024,0,11,0.06,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
132,1000000,1000000,7997.133024,0,11,0.65,20,0.046134319,0,3,0,NCy_US,C&I,StraightLine,0,1,0,CB,3,0
133,1000000,1000000,7997.133024,0,11,0.72,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
134,1000000,1000000,7997.133024,0,11,0.20,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
135,1000000,1000000,7997.133024,0,11,0.08,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
136,1000000,1000000,7997.133024,0,11,0.59,20,0.046134319,0,3,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,3,0
137,1000000,1000000,7997.133024,0,11,0.36,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
138,1000000,1000000,7997.133024,0,11,0.06,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
139,1000000,1000000,7997.133024,0,11,0.14,20,0.046134319,0,3,0,Fin_US,C&I,StraightLine,0,1,0,CB,3,0
140,1000000,1000000,7997.133024,0,11,0.61,20,0.046134319,0,3,0,Oil_US,C&I,StraightLine,0,1,0,CB,3,0
141,1000000,1000000,7997.133024,0,11,0.30,20,0.046134319,0,4,0,NCy_US,C&I,StraightLine,0,1,0,CB,4,0
142,1000000,1000000,7997.133024,0,11,0.64,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
143,1000000,1000000,7997.133024,0,11,0.41,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
144,1000000,1000000,7997.133024,0,11,0.43,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
145,1000000,1000000,7997.133024,0,11,0.57,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
146,1000000,1000000,7997.133024,0,11,0.25,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
147,1000000,1000000,7997.133024,0,11,0.06,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
148,1000000,1000000,7997.133024,0,11,0.67,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
149,1000000,1000000,7997.133024,0,11,0.53,20,0.046134319,0,4,0,NCy_US,C&I,StraightLine,0,1,0,CB,4,0
150,1000000,1000000,7997.133024,0,11,0.19,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
151,1000000,1000000,7997.133024,0,11,0.08,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
152,1000000,1000000,7997.133024,0,11,0.06,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
153,1000000,1000000,7997.133024,0,11,0.20,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
154,1000000,1000000,7997.133024,0,11,0.22,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
155,1000000,1000000,7997.133024,0,11,0.50,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
156,1000000,1000000,7997.133024,0,11,0.27,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
157,1000000,1000000,7997.133024,0,11,0.32,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
158,1000000,1000000,7997.133024,0,11,0.43,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
159,1000000,1000000,7997.133024,0,11,0.21,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
160,1000000,1000000,7997.133024,0,11,0.43,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
161,1000000,1000000,7997.133024,0,11,0.50,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
162,1000000,1000000,7997.133024,0,11,0.53,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
163,1000000,1000000,7997.133024,0,11,0.23,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
164,1000000,1000000,7997.133024,0,11,0.07,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
165,1000000,1000000,7997.133024,0,11,0.80,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
166,1000000,1000000,7997.133024,0,11,0.78,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
167,1000000,1000000,7997.133024,0,11,0.57,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
168,1000000,1000000,7997.133024,0,11,0.41,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
169,1000000,1000000,7997.133024,0,11,0.11,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
170,1000000,1000000,7997.133024,0,11,0.29,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
171,1000000,1000000,7997.133024,0,11,0.62,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
172,1000000,1000000,7997.133024,0,11,0.67,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
173,1000000,1000000,7997.133024,0,11,0.36,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
174,1000000,1000000,7997.133024,0,11,0.26,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
175,1000000,1000000,7997.133024,0,11,0.31,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
176,1000000,1000000,7997.133024,0,11,0.34,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
177,1000000,1000000,7997.133024,0,11,0.08,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
178,1000000,1000000,7997.133024,0,11,0.66,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
179,1000000,1000000,7997.133024,0,11,0.31,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
180,1000000,1000000,7997.133024,0,11,0.14,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
181,1000000,1000000,7997.133024,0,11,0.14,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
182,1000000,1000000,7997.133024,0,11,0.40,20,0.046134319,0,4,0,NCy_US,C&I,StraightLine,0,1,0,CB,4,0
183,1000000,1000000,7997.133024,0,11,0.40,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
184,1000000,1000000,7997.133024,0,11,0.56,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
185,1000000,1000000,7997.133024,0,11,0.05,20,0.046134319,0,4,0,NCy_US,C&I,StraightLine,0,1,0,CB,4,0
186,1000000,1000000,7997.133024,0,11,0.41,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
187,1000000,1000000,7997.133024,0,11,0.58,20,0.046134319,0,4,0,Fin_US,C&I,StraightLine,0,1,0,CB,4,0
188,1000000,1000000,7997.133024,0,11,0.54,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
189,1000000,1000000,7997.133024,0,11,0.25,20,0.046134319,0,4,0,Oil_US,C&I,StraightLine,0,1,0,CB,4,0
190,1000000,1000000,7997.133024,0,11,0.59,20,0.046134319,0,4,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,4,0
191,1000000,1000000,7997.133024,0,11,0.63,20,0.046134319,0,5,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,5,0
192,1000000,1000000,7997.133024,0,11,0.63,20,0.046134319,0,5,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,5,0
193,1000000,1000000,7997.133024,0,11,0.13,20,0.046134319,0,5,0,Oil_US,C&I,StraightLine,0,1,0,CB,5,0
194,1000000,1000000,7997.133024,0,11,0.72,20,0.046134319,0,5,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,5,0
195,1000000,1000000,7997.133024,0,11,0.26,20,0.046134319,0,5,0,Fin_US,C&I,StraightLine,0,1,0,CB,5,0
196,1000000,1000000,7997.133024,0,11,0.44,20,0.046134319,0,5,0,Oil_US,C&I,StraightLine,0,1,0,CB,5,0
197,1000000,1000000,7997.133024,0,11,0.61,20,0.046134319,0,5,0,Cyc_US_2clst,C&I,StraightLine,0,1,0,CB,5,0
198,1000000,1000000,7997.133024,0,11,0.34,20,0.046134319,0,5,0,Fin_US,C&I,StraightLine,0,1,0,CB,5,0
199,1000000,1000000,7997.133024,0,11,0.64,20,0.046134319,0,5,0,Fin_US,C&I,StraightLine,0,1,0,CB,5,0
200,1000000,1000000,7997.133024,0,11,0.76,20,0.046134319,0,5,0,Oil_US,C&I,StraightLine,0,1,0,CB,5,0
